name,rating,org_price,offer_price
"MOTOROLA g72 (Meteorite Grey, 128 GB)",4.1,"₹21,999","₹14,999"
"POCO M4 Pro (Cool Blue, 128 GB)",4.3,"₹19,999","₹12,999"
"MOTOROLA g52 (Charcoal Grey, 64 GB)",4.2,"₹17,999","₹10,999"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"POCO M4 5G (Power Black, 128 GB)",4.2,"₹18,999","₹14,999"
"POCO M4 5G (Power Black, 64 GB)",4.2,"₹15,999","₹12,999"
"MOTOROLA G32 (Satin Silver, 128 GB)",4.2,"₹18,999","₹11,999"
"MOTOROLA G32 (Mineral Gray, 128 GB)",4.2,"₹18,999","₹11,999"
"POCO M4 Pro (Cool Blue, 64 GB)",4.3,"₹17,999","₹11,999"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.3,"₹17,490","₹14,490"
"POCO M4 5G (Cool Blue, 64 GB)",4.2,"₹15,999","₹12,999"
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.4,"₹14,999","₹10,999"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.4,"₹14,999","₹10,999"
"MOTOROLA g72 (Polar Blue, 128 GB)",4.1,"₹21,999","₹14,999"
"MOTOROLA g52 (Charcoal Grey, 128 GB)",4.2,"₹19,999","₹12,999"
"MOTOROLA G32 (Mineral Gray, 64 GB)",4.2,"₹16,999","₹10,499"
"POCO M4 Pro (Yellow, 128 GB)",4.3,"₹19,999","₹12,999"
"MOTOROLA g52 (Metallic White, 128 GB)",4.2,"₹19,999","₹12,999"
"realme C55 (Sunshower, 64 GB)",4.4,"₹13,999","₹11,999"
"realme C55 (Rainy Night, 64 GB)",4.4,"₹13,999","₹11,999"
"realme C55 (Rainy Night, 128 GB)",4.5,"₹15,999","₹13,999"
"realme C55 (Sunshower, 64 GB)",4.4,"₹12,999","₹10,999"
"realme C55 (Rainy Night, 64 GB)",4.4,"₹12,999","₹10,999"
"realme C55 (Sunshower, 128 GB)",4.5,"₹15,999","₹13,999"
"POCO M4 Pro (Yellow, 128 GB)",4.3,"₹19,999","₹12,999"
"REDMI 10 (Midnight Black, 128 GB)",4.2,"₹16,999","₹11,999"
"REDMI 10 (Shadow Black, 64 GB)",4.3,"₹14,999","₹9,999"
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.4,"₹16,999","₹11,999"
"POCO M4 5G (Yellow, 64 GB)",4.2,"₹15,999","₹12,999"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)",4.3,"₹17,490","₹14,490"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",4.3,"₹17,490","₹14,490"
"vivo T1 44W (Starry Sky, 128 GB)",4.5,"₹19,990","₹14,499"
"vivo T1 44W (Midnight Galaxy, 128 GB)",4.5,"₹19,990","₹14,499"
"REDMI 10 (Pacific Blue, 128 GB)",4.2,"₹16,999","₹11,999"
"MOTOROLA g31 (Baby Blue, 128 GB)",4.1,"₹16,999","₹10,999"
"Infinix Hot 20 5G (Blaster Green, 128 GB)",4.2,"₹19,999","₹13,499"
"POCO M5 (Power Black, 128 GB)",4.3,"₹18,999","₹12,499"
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.4,"₹16,999","₹11,999"
"Infinix Hot 20 5G (Space Blue, 128 GB)",4.2,"₹19,999","₹13,499"
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",4.4,"₹16,999","₹11,999"
"REDMI 10 (Caribbean Green, 128 GB)",4.2,"₹16,999","₹11,999"
"realme C33 2023 (Aqua Blue, 128 GB)",,"₹13,999","₹10,499"
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)",4.1,"₹11,499","₹8,624"
"REDMI 10 Power (Sporty Orange, 128 GB)",4.2,"₹18,999","₹11,995"
"POCO M4 5G (Yellow, 128 GB)",4.2,"₹18,999","₹14,999"
"realme C33 2023 (Sandy Gold, 128 GB)",,"₹13,999","₹10,499"
"POCO M4 Pro (Yellow, 64 GB)",4.3,"₹17,999","₹11,999"
"realme C33 2023 (Night Sea, 128 GB)",,"₹13,999","₹10,499"
"Infinix HOT 20 5G (Racing Black, 64 GB)",4.2,"₹17,999","₹11,499"
"realme 10 (Rush Black, 64 GB)",4.3,"₹15,999","₹13,999"
"POCO M5 (Yellow, 128 GB)",4.3,"₹18,999","₹12,499"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"realme Narzo 50 (Speed Blue, 64 GB)",4.4,"₹15,999","₹11,980"
"REDMI 10A SPORT (SLATE GREY, 128 GB)",4,"₹13,999","₹10,515"
"POCO M4 Pro 5G (Cool Blue, 64 GB)",4.3,"₹16,999","₹14,999"
"realme Narzo 50 (Speed Black, 64 GB)",4.4,"₹15,999","₹12,780"
"OPPO A17 (Lake Blue, 64 GB)",4.4,"₹14,999","₹12,499"
"Infinix Hot 12 Pro (Lightsaber Green, 128 GB)",4,"₹15,999","₹12,999"
"vivo Y22 (Starlit Blue, 64 GB)",4.3,"₹17,990","₹14,499"
"Infinix Hot 12 Pro (Electric Blue, 128 GB)",4,"₹15,999","₹12,999"
"SAMSUNG Galaxy M13 (Aqua Green, 128 GB)",4.2,"₹17,999","₹13,899"
"REDMI 10 Prime 2022 (Astral White, 64 GB)",4.2,"₹14,999","₹11,990"
"REDMI Note 11S (Polar White, 64 GB)",4.2,"₹19,999","₹14,190"
"vivo Y22 (Metaverse Green, 64 GB)",4.3,"₹17,990","₹14,499"
"Tecno Pova 3 (Tech Silver, 64 GB)",4.3,"₹14,499","₹10,995"
"realme 10 (Clash White, 64 GB)",4.3,"₹15,999","₹13,999"
"MOTOROLA G40 Fusion (Frosted Champagne, 128 GB)",4.2,,"₹19,999"
"Tecno Pova 3 (Electric Blue, 64 GB)",4.3,"₹14,499","₹11,990"
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",4.2,"₹14,999","₹11,181"
"Infinix Note 12 5G (Snowfall, 64 GB)",4.2,"₹19,999","₹14,999"
"SAMSUNG Galaxy M04 (Light Green, 128 GB)",4.1,"₹13,499","₹9,945"
"MOTOROLA g22 (Iceberg Blue, 64 GB)",3.8,"₹13,999","₹10,999"
"realme 10 (Clash White, 64 GB)",4.3,"₹15,999","₹13,999"
"realme Narzo 50A Prime (Flash Blue, 128 GB)",4,"₹14,499","₹11,900"
"realme NARZO 50A PRIME (FLASH BLUE, 64 GB)",4,"₹13,499","₹10,874"
"REDMI 10A SPORT (SLATE GREY, 128 GB)",4,"₹13,999","₹10,514"
"REDMI 10A SPORT (SEA BLUE, 128 GB)",4,"₹13,999","₹10,549"
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",4.2,"₹14,999","₹11,181"
"SAMSUNG Galaxy M04 (Light Green, 128 GB)",4.1,"₹13,499","₹9,945"
"MOTOROLA g22 (Iceberg Blue, 64 GB)",3.8,"₹13,999","₹10,999"
"Infinix Note 12 5G (Snowfall, 64 GB)",4.2,"₹19,999","₹14,999"
"vivo Y22 (Metaverse Green, 64 GB)",4.3,"₹17,990","₹14,499"
"REDMI Note 11 (Starburst White, 64 GB)",4.2,"₹17,999","₹13,700"
"realme C35 (Glowing Black, 64 GB)",4.4,"₹13,999","₹11,999"
"vivo Y16 (Steller Black, 64 GB)",4.4,"₹15,999","₹12,499"
"OPPO F19 (Prism Black, 128 GB)",4.3,"₹20,990","₹14,990"
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)",4.1,"₹13,499","₹10,043"
"realme C35 (Glowing Black, 128 GB)",4.4,"₹14,999","₹12,999"
"realme C35 (Glowing Green, 64 GB)",4.4,"₹13,999","₹11,999"
"REDMI 11 Prime 5G (Thunder Black, 64 GB)",4.2,"₹15,999","₹13,998"
"Infinix Note 12 5G (Force Black, 64 GB)",4.2,"₹19,999","₹14,999"
"realme C35 (Glowing Black, 128 GB)",4.3,"₹15,999","₹13,999"
"SAMSUNG GALAXY M13 5G (Midnight Blue, 64 GB)",4.1,"₹14,999","₹13,899"
"vivo Y16 (Steller Black, 64 GB)",4.3,"₹13,999","₹10,999"
"SAMSUNG Galaxy A03 (Blue, 32 GB)",4.1,"₹12,828","₹8,490"
"Tecno Pova 3 (Eco Black, 64 GB)",4.3,"₹14,999","₹10,995"
"vivo Y16 (Steller Black, 64 GB)",4.3,"₹13,999","₹10,999"
"realme C35 (Glowing Green, 64 GB)",4.4,"₹13,999","₹11,999"
"realme C35 (Glowing Black, 128 GB)",4.3,"₹15,999","₹13,999"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"IQOO Z6 44W (Lumina Blue, 128 GB)",4.2,"₹19,999","₹14,899"
"REDMI 11 Prime 5G (Thunder Black, 64 GB)",4.2,"₹15,999","₹13,998"
"Tecno Pova 3 (Eco Black, 64 GB)",4.3,"₹14,999","₹10,995"
"vivo Y16 (Drizzling Gold, 64 GB)",4.4,"₹15,999","₹12,499"
"vivo Y16 (Steller Black, 32 GB)",4.3,"₹12,999","₹9,999"
"realme C35 (Glowing Green, 128 GB)",4.4,"₹14,999","₹12,999"
"OPPO A17K (Navy Blue, 64 GB)",4.5,"₹11,999","₹9,469"
"Tecno Pova 3 (Tech Silver, 128 GB)",4.1,"₹15,999","₹13,798"
"POCO M5 (Icy Blue, 64 GB)",4.3,"₹15,999","₹10,999"
"REDMI Note 9 (Shadow Black, 128 GB)",4.3,"₹18,999","₹14,999"
"Infinix Note 12 TURBO (Force Black, 128 GB)",4.2,"₹19,999","₹13,999"
"Infinix Note 12 TURBO (Jewel Blue, 128 GB)",4.2,"₹19,999","₹13,999"
"SAMSUNG Galaxy A03 (Black, 32 GB)",4.1,"₹12,999","₹8,399"
"SAMSUNG GALAXY M13 (Midnight Blue, 128 GB)",4.2,"₹17,999","₹14,945"
"REDMI 11 Prime (Flashy Black, 64 GB)",4.2,"₹14,999","₹11,133"
"REDMI 11 Prime (Playful Green, 64 GB)",4.2,"₹13,999","₹11,200"
"REDMI 11 Prime 5G (Chrome Silver, 128 GB)",4.2,"₹17,999","₹16,896"
"REDMI 9 Activ (Coral Green, 128 GB)",4.2,"₹12,999","₹11,499"
"realme 8i (Space Black, 64 GB)",4.5,"₹15,999","₹13,999"
"Infinix Note 12 (Force Black, 64 GB)",4.2,"₹15,999","₹11,999"
"vivo Y21A (Diamond Glow, 64 GB)",4.3,"₹17,990","₹13,489"
"realme C25s (Watery Blue, 64 GB)",4.4,"₹10,999","₹10,890"
"realme C25s (Watery Grey, 64 GB)",4.4,"₹10,999","₹10,890"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"OPPO A17 (Lake Blue, 64 GB)",4.4,"₹14,999","₹12,388"
"REDMI 11 Prime (Peppy Purple, 64 GB)",4.2,"₹13,999","₹11,299"
"Infinix Note 12 (Force Black, 128 GB)",4.2,"₹17,999","₹12,999"
Cellecor E3,3.9,"₹1,599","₹1,176"
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4.3,"₹14,999","₹11,499"
"Tecno Spark 8 (Turquoise Cyan, 64 GB)",4.1,"₹13,499","₹9,249"
"Infinix Note 12 (Jewel Blue, 128 GB)",4.2,"₹17,999","₹12,999"
"OPPO A17k (Navy Blue, 64 GB)",4.5,"₹12,999","₹9,999"
"OPPO A17k (Gold, 64 GB)",4.5,"₹12,999","₹9,999"
"OPPO A55 (Rainbow Blue, 128 GB)",4.3,"₹18,990","₹13,999"
"OPPO A55 (Mint Green, 128 GB)",4.3,"₹18,990","₹13,999"
"REDMI 9 Activ (Coral Green, 64 GB)",4.2,"₹10,999","₹10,490"
"MOTOROLA g22 (Mint Green, 64 GB)",3.8,"₹13,999","₹10,999"
"vivo Y21G (Diamond Glow, 64 GB)",4.3,"₹17,990","₹13,989"
"vivo Y02 (Orchid Blue, 32 GB)",4.3,,"₹12,999"
"Micromax IN Note 1 (White, 64 GB)",4.1,"₹15,499","₹11,499"
"REDMI 11 Prime (Playful Green, 128 GB)",4.1,"₹16,999","₹13,890"
"realme C21 (Cross Black, 64 GB)",4.4,"₹10,999","₹10,499"
"realme 9i (Prism Blue, 128 GB)",4.5,"₹16,999","₹14,999"
"realme 9i (Prism Black, 128 GB)",4.5,"₹16,999","₹14,999"
"vivo Y33s (Midday Dream, 128 GB)",4.3,"₹21,990","₹18,990"
"realme C25s (Watery Grey, 128 GB)",4.4,,"₹11,999"
"SAMSUNG Galaxy M04 (Light Green, 64 GB)",4.1,"₹11,499","₹8,927"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"realme C25_Y (Metal Grey, 64 GB)",4.5,"₹12,999","₹10,999"
"REDMI Note 10S (Frost White, 64 GB)",4.4,,"₹16,999"
"SAMSUNG Galaxy A13 (Peach, 64 GB)",4.1,"₹18,490","₹14,499"
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",4.2,"₹12,999","₹11,099"
"realme C25_Y (Glacier Blue, 128 GB)",4.5,"₹13,999","₹11,999"
"POCO M5 (Yellow, 64 GB)",4.3,"₹15,999","₹10,999"
"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,"₹13,999","₹12,499"
"SAMSUNG Galaxy A13 (Black, 128 GB)",4.1,"₹19,990","₹14,999"
"REDMI Note 9 (Pebble Grey, 128 GB)",4.3,"₹18,999","₹14,999"
"OPPO A55 (Starry Black, 128 GB)",4.3,"₹18,990","₹13,999"
"realme 3i (Diamond Blue, 64 GB)",4.4,"₹10,999","₹10,499"
"REDMI 9 Activ (Carbon Black, 128 GB)",4.2,"₹12,999","₹11,499"
"POCO M5 (Power Black, 64 GB)",4.3,"₹15,999","₹10,999"
"SAMSUNG Galaxy A04e (Copper, 128 GB)",4.3,"₹14,999","₹11,499"
"OPPO A57 (Glowing Gold, 64 GB)",4.4,,"₹16,990"
"SAMSUNG Galaxy A13 (Black, 128 GB)",4.2,"₹20,990","₹16,499"
"SAMSUNG M21 2021 Edition (Charcoal Black, 64 GB)",4.2,"₹14,999","₹11,999"
"SAMSUNG Galaxy A04e (Copper, 64 GB)",4.4,"₹11,999","₹9,999"
"POCO M2 Reloaded (Mostly Blue, 64 GB)",4.3,,"₹11,999"
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹12,999","₹10,499"
"SAMSUNG Galaxy A04e (Copper, 64 GB)",4.4,"₹11,999","₹9,999"
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹12,999","₹10,499"
"SAMSUNG Galaxy A13 (Blue, 64 GB)",4.1,"₹18,490","₹14,499"
GREENBERRI RAFALE,4,,₹899
"realme Narzo 30 (Racing Blue, 64 GB)",4.4,"₹14,999","₹13,499"
"REDMI 11 Prime (Playful Green, 64 GB)",4.2,"₹14,999","₹10,850"
"SAMSUNG GALAXY M13 (Stardust Brown, 128 GB)",4.2,"₹17,999","₹14,199"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"OPPO A55 (Rainbow Blue, 64 GB)",4.3,"₹18,990","₹14,399"
"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,"₹13,999","₹12,499"
"REDMI 11 Prime (Peppy Purple, 64 GB)",4.2,"₹14,999","₹10,750"
Cellecor E3,3.9,"₹1,599","₹1,176"
"oppo A17K (Gold, 64 GB)",4.5,"₹12,999","₹9,490"
"SAMSUNG Galaxy A13 (Green, 128 GB)",4.1,"₹19,990","₹14,999"
"Infinix Hot 12 Pro (Racing Black, 128 GB)",4,"₹15,999","₹12,999"
"realme narzo 50 5G (Hyper Blue, 64 GB)",4.4,"₹16,999","₹14,849"
"realme C21 (Cross Blue, 64 GB)",4.4,"₹10,999","₹10,499"
"realme narzo 50 5G (Hyper Black, 64 GB)",4.4,"₹17,990","₹14,884"
"REDMI 10A (CHARCOAL BLACK, 128 GB)",4,"₹13,999","₹11,999"
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",4.3,"₹16,999","₹13,499"
"Infinix Note 11 (Graphite Black, 128 GB)",4.2,"₹16,999","₹14,499"
"realme C25_Y (Glacier Blue, 128 GB)",4.5,"₹13,999","₹11,999"
"realme 3i (Diamond Red, 64 GB)",4.4,"₹10,999","₹10,499"
"realme 3i (Diamond Black, 64 GB)",4.4,"₹10,999","₹10,499"
"OPPO A55 (Starry Black, 64 GB)",4.3,"₹18,799","₹12,199"
"realme Narzo 50A Prime (Flash Blue, 64 GB)",4,"₹12,999","₹10,749"
"Infinix Hot 11S (Silver Wave, 64 GB)",4.3,"₹13,999","₹10,999"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"REDMI 11 Prime (Playful Green, 128 GB)",4.1,"₹16,999","₹13,490"
"Infinix Note 11s (Mithril Grey, 64 GB)",4.3,"₹16,999","₹13,999"
"REDMI Note 11 (Space Black, 128 GB)",4.2,"₹19,999","₹14,999"
GREENBERRI RAFALE,4,,₹899
"SAMSUNG GALAXY M13 (Stardust Brown, 64 GB)",4.2,"₹14,999","₹10,999"
"vivo Y15c (Wave Green, 64 GB)",4.2,"₹14,990","₹11,499"
"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,999","₹10,499"
Cellecor E3,3.9,"₹1,599","₹1,176"
"realme C25_Y (Metal Grey, 128 GB)",4.5,"₹13,999","₹11,999"
"OPPO A57 (Glowing Black, 64 GB)",4.4,"₹16,990","₹13,999"
"realme Narzo 50A Prime (Flash Black, 128 GB)",4,"₹14,499","₹11,999"
"Infinix Note 11 (Glacier Green, 128 GB)",4.2,"₹16,999","₹14,499"
"Infinix Hot 11S (Polar Black, 128 GB)",4.3,"₹14,999","₹11,999"
"Tecno POVA 4 (Cryolite Blue, 128 GB)",4.2,"₹14,499","₹13,949"
"OPPO A77 (Sky Blue, 128 GB)",4.3,"₹19,999","₹15,999"
"OPPO A77 (Sunset Orange, 128 GB)",4.3,"₹19,999","₹15,999"
"realme Narzo 50A (Oxygen Green, 64 GB)",4.4,,"₹11,499"
"realme 3i (Diamond Red, 64 GB)",4.4,"₹10,999","₹10,499"
"Infinix Note 11s (Haze Green, 64 GB)",4.3,"₹16,999","₹13,999"
"OPPO A57 (Glowing Green, 64 GB)",4.4,"₹16,990","₹13,999"
"OPPO A15s (Dynamic Black, 128 GB)",4.3,"₹14,990","₹12,790"
"REDMI Note 10S (Shadow Black, 64 GB)",4.4,,"₹13,690"
"POCO M2 Reloaded (Greyish Black, 64 GB)",4.3,,"₹11,999"
GREENBERRI RAFALE,4,,₹899
"Redmi 10 Prime (Astral White, 64 GB)",3.9,"₹14,499","₹14,490"
"Infinix Note 11 (Glacier Green, 64 GB)",4.3,"₹14,999","₹12,499"
"OPPO A31 (Mystery Black, 128 GB)",4.3,"₹15,990","₹14,489"
Cellecor E3,3.9,"₹1,599","₹1,176"
"Redmi 8 (Sapphire Blue, 64 GB)",4.4,"₹10,999","₹10,749"
"Nokia G21 (Dusk, 64 GB)",4,,"₹14,499"
"Redmi Y2 (Dark Grey, 64 GB)",4.4,,"₹13,499"
"Infinix Note 5 (Berlin Gray, 32 GB)",4.2,,"₹10,999"
"Infinix Note 5 (Ice Blue, 32 GB)",4.2,,"₹10,999"
"REDMI 11 Prime 5G (Meadow Green, 64 GB)",4.2,"₹15,999","₹14,499"
"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4.3,"₹13,999","₹11,499"
"SAMSUNG Galaxy A04 (Green, 128 GB)",3.6,"₹15,999","₹12,999"
"LAVA Blaze Pro (Glass Orange, 64 GB)",4.3,"₹12,999","₹10,200"
"SAMSUNG Galaxy A13 (Green, 64 GB)",4.1,"₹18,499","₹14,889"
"realme Narzo 20A (Victory Blue, 64 GB)",4.4,,"₹11,999"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.4,,"₹17,999"
"OPPO A15S (Rainbow Silver, 64 GB)",4.3,,"₹13,990"
"IQOO Z6 Lite 5G (Without Charger) (Stellar Green, 64 GB)",4.2,"₹14,480","₹14,330"
"MOTOROLA G51 5G (Indigo Blue, 64 GB)",4.1,"₹17,999","₹14,999"
"POCO M3 (Yellow, 64 GB)",4.3,,"₹11,999"
"SAMSUNG A04 E (Copper, 128 GB)",4.7,"₹11,999","₹11,499"
"OPPO A15S (Fancy white, 128 GB)",4.3,"₹14,990","₹12,790"
"POCO M3 (Yellow, 64 GB)",4.3,,"₹11,999"
GREENBERRI RAFALE,4,,₹899
"SAMSUNG Galaxy A04e (Light Blue, 128 GB)",4.3,"₹14,999","₹11,299"
"Micromax IN Note 1 (Green, 64 GB)",4.1,"₹15,499","₹11,499"
"POCO M2 Pro (Green and Greener, 64 GB)",4.4,,"₹17,999"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"realme C12 (Power Silver, 32 GB)",4.4,,"₹10,999"
"MOTOROLA G40 Fusion (Dynamic Gray, 128 GB)",4.2,"₹19,999","₹12,999"
"Tecno Camon 19 (Memphis Green, 128 GB)",4.2,"₹15,287","₹14,990"
Cellecor E3,3.9,"₹1,599","₹1,176"
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",4.2,"₹12,999","₹11,099"
"REDMI 11 Prime (Flashy Black, 64 GB)",4.2,"₹14,999","₹11,199"
"Redmi 6 (Black, 64 GB)",4.4,,"₹10,499"
"OPPO A 57e (Green, 64 GB)",4,"₹16,999","₹13,989"
"Nokia G20 (Dark Blue, 64 GB)",3.9,"₹14,999","₹12,169"
"OPPO A12 (Deep Blue, 64 GB)",4.4,"₹11,990","₹10,990"
"realme C15 (Power Blue, 32 GB)",4.3,,"₹11,999"
"Redmi Y2 (Blue, 32 GB)",4.5,,"₹10,499"
"realme C12 (Power Blue, 32 GB)",4.4,,"₹10,999"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.3,,"₹16,999"
"SAMSUNG GALAXY M13 5G (Stardust Brown, 64 GB)",4.1,"₹16,999","₹13,699"
"Redmi 6 (Gold, 64 GB)",4.4,,"₹10,499"
"SAMSUNG Galaxy A04 (Black, 64 GB)",3.6,"₹14,999","₹11,999"
"Redmi Note 7S (Sapphire Blue, 64 GB)",4.4,,"₹13,999"
"SAMSUNG Galaxy A04 (Copper, 128 GB)",3.6,"₹15,999","₹12,999"
GREENBERRI RAFALE,4,,₹899
"Redmi 6 (Blue, 64 GB)",4.4,,"₹10,499"
"LAVA Blaze Pro 6GB+128GB (Glass Orange, 128 GB)",,"₹13,999","₹11,949"
"vivo Y16 (Drizzling Gold, 64 GB)",4.3,"₹14,999","₹10,890"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"Nokia 5.4 (Polar Night, 64 GB)",3.9,,"₹16,799"
"realme C15 (Power Silver, 32 GB)",4.3,,"₹11,999"
"Redmi Note 6 Pro (Black, 64 GB)",4.5,,"₹15,999"
Cellecor E3,3.9,"₹1,599","₹1,176"
"Redmi Note 7S (Onyx Black, 64 GB)",4.4,,"₹13,999"
"LAVA Blaze Pro (Glass Green, 64 GB)",4.3,"₹12,999","₹10,499"
"OPPO A55 (Rainbow Blue, 128 GB)",4.1,,"₹14,900"
"Micromax IN Note 1 (Green, 128 GB)",4.1,"₹16,999","₹10,999"
"realme 2 Pro (Black Sea, 64 GB)",4.5,,"₹13,990"
"Redmi 9 (Sporty Orange, 64 GB)",4.2,"₹10,999","₹9,290"
"vivo Y21E (Midnight Blue, 64 GB)",4.2,"₹16,990","₹12,490"
"OPPO A54 (Crystal Black, 128 GB)",4.3,,"₹13,250"
"Redmi Note 7S (Onyx Black, 32 GB)",4.4,,"₹11,999"
"Redmi Note 6 Pro (Red, 64 GB)",4.5,,"₹15,999"
"OPPO A54 (Crystal Black, 128 GB)",4.4,,"₹14,900"
"Redmi Note 5 (Black, 32 GB)",4.4,,"₹10,999"
"realme Narzo 20 (Victory Blue, 64 GB)",4.3,"₹12,999","₹10,499"
"realme Narzo 20 (Glory Silver, 64 GB)",4.3,"₹12,999","₹10,499"
"MOTOROLA G40 Fusion (Dynamic Gray, 128 GB)",4.2,"₹19,999","₹12,999"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"OPPO A54 (Moonlight Gold, 128 GB)",4.4,"₹15,990","₹14,480"
"REDMI 11 Prime (Flashy Black, 64 GB)",4.2,"₹14,999","₹11,199"
"Redmi 6 (Black, 64 GB)",4.4,,"₹10,499"
GREENBERRI RAFALE,4,,₹899
"OPPO A 57e (Green, 64 GB)",4,"₹16,999","₹13,989"
"Nokia G20 (Dark Blue, 64 GB)",3.9,"₹14,999","₹12,169"
"OPPO A12 (Deep Blue, 64 GB)",4.4,"₹11,990","₹10,990"
Cellecor E3,3.9,"₹1,599","₹1,176"
"realme C15 (Power Blue, 32 GB)",4.3,,"₹11,999"
"Redmi Y2 (Blue, 32 GB)",4.5,,"₹10,499"
"OPPO A15s (Rainbow Silver, 128 GB)",4.3,"₹14,990","₹13,999"
"realme C12 (Power Blue, 32 GB)",4.4,,"₹10,999"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.3,,"₹16,999"
"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)",4.2,"₹16,999","₹14,399"
"OPPO A54 (Starry Blue, 128 GB)",4.3,"₹14,948","₹14,776"
"OPPO A54 (Crystal Black, 128 GB)",4.4,"₹15,990","₹14,990"
"Redmi 6 (Gold, 64 GB)",4.4,,"₹10,499"
"Redmi 10 Prime (Phantom Black, 128 GB)",4.1,"₹16,999","₹13,996"
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,,"₹17,999"
"realme C15 (Power Blue, 64 GB)",4.4,,"₹12,999"
